Object;distance_pc;(+)dD;(-)dD;Rd(mas);(+)dRd;(-)dRd;logL(Lsun);(+)dlogL;(-)dlogL;ADb;Adb_error(+);Adb_error(-);logLacc[Lsun];(+)dlogLacc;(-)dlogLacc;logMdot[Msun yr-1];(+)dlogMdot;(-)dlogMdot
BD-06 1253;489.956;38.4811;38.4811;2.5;0.1;0.1;2.06;0.09;0.12;0.87;0.05;0.05;<0.79;NaN;NaN;<-6.54;NaN;NaN
EM* AS 442;863.4833;22.1444;22.1444;1.13;0.15;0.08;2.42;0.05;0.05;0.48;0.07;0.07;1.91;0.12;0.12;-5.49;0.15;0.15
EM* MWC 297;375;22;18;21.9;1.2;NaN;4.41;0.39;0.5;0.11;0.08;0.08;4.08;0.21;0.2;-3.61;0.19;0.2
HD 31648;161.773;1.9916;1.9916;3.05;0.03;0.03;1.38;0.04;0.04;0.05;0.07;0.07;0.85;0.15;0.15;-6.57;0.21;0.17
HD 58647;318.5221;4.322;4.322;0.82;0.13;0.13;2.58;0.04;0.04;0.18;0.07;0.07;-4.84;0.22;0.22;2.47;0.23;0.23
HD 141569;110.63;0.91;0.88;2;NaN;NaN;1.34;0.06;0.07;0.05;0.05;0.05;0.22;0.17;0.18;-7.35;0.18;0.15
HD 142666;148.3;2;1.9;0.29;0.05;0.04;1.08;0.1;0.11;0.18;0.07;0.07;0.12;0.18;0.18;-7.24;0.17;0.17
HD 144432;155.4;2.4;2.2;0.49;0.05;0.03;1.18;0.09;0.09;0.07;0.05;0.05;0.38;0.2;0.21;-6.99;0.18;0.2
HD 150193;150.8;2.7;2.5;0.58;0.15;0.09;1.56;0.14;0.15;0.07;0.05;0.05;0.71;0.15;0.15;-6.75;0.15;0.18
HD 163296;101.4961;1.1785;1.1785;0.45;0.02;0.03;1.34;0.04;0.04;0.06;0.05;0.05;-7.49;0.14;0.3;0.08;0.14;0.3
HD 179218;266;5.6;5.2;6.7;1.5;1.5;1.98;0.07;0.07;0.05;0.05;0.05;1.08;0.13;0.13;-6.31;0.12;0.12
HD 190073;870;100;70;3.76;0.23;0.42;2.84;0.16;0.14;0.22;0.07;0.07;2.31;0.18;0.15;-4.97;0.18;0.14
V* CQ Tau;163.1188;2.1845;2.1845;2.75;0.1;0.11;0.89;0.02;0.02;0.02;0.07;0.07;-0.84;NaN;NaN;-8.30;NaN;NaN
V* T Ori;408;13;11;1.4;NaN;NaN;1.7;0.18;0.18;0.09;0.07;0.07;0.92;0.18;0.18;-6.48;0.15;0.17
V* UX Ori;324.971;5.3753;5.3753;2.36;0.43;0.2;1.18;0.11;0.15;0.87;0.05;0.05;<0.13;NaN;NaN;<-7.26;NaN;NaN
V* WW Vul;504.0323;9.349;9.349;0.99;0.13;0.08;1.54;0.06;0.06;0.08;0.07;0.07;0.95;0.15;0.15;-6.51;0.21;0.19
V* Z CMa;1050;NaN;NaN;4.15;0.25;0.25;2.38;0.27;0.89;1.08;0.05;0.05;-3.01;0.2;0.19;4.05;0.22;0.22