Star;DeltaDb (mag);error DeltaDb (mag);log Lhalpha [Lsun];error log Lhalpha [Lsun];log Lacc [Lsun];error log Lacc [Lsun];log Macc [Msun/yr];error log Macc [Msun/yr];Brgamma/Halpha in?;Meeus group
V590 Mon;0.00;0.05;-0.49;0.07;null;null;null;null;no;I
PDS 281;0.00;0.05;n.a;n.a;null;null;null;null;no;I
HD 94509;0.00;0.05;0.29;0.10;null;null;null;null;no;II?
DG Cir;0.79;0.05;-0.85;0.06;1.24;0.07;-6.09;0.10;no;I
HD 141926;0.20;0.05;1.32;0.09;3.41;0.09;-4.32;0.10;no;II
HD 37806;n.a;n.a;-0.56;0.05;1.53;0.07;-5.91;0.07;yes;II
HD 38120;n.a;n.a;-0.80;0.06;1.29;0.07;-6.33;0.07;n.a;I
HD 58647;0.18;0.07;-0.43;0.02;1.66;0.06;-5.73;0.07;yes;II
HD 95881;0.05;upper limit;0.33;0.08;2.42;0.06;-4.85;0.06;n.a;II
HD 97048;0.01;upper limit;-0.90;0.03;1.19;0.07;-6.40;0.08;n.a;I
HD 98922;0.01;upper limit;0.41;0.05;2.50;0.06;-4.78;0.06;yes;II
HD 100546;0.18;0.05;-1.10;0.03;0.99;0.08;-6.57;0.08;yes;I
HD 135344B;0.07;0.05;-1.99;0.06;0.10;0.12;-7.28;0.12;n.a;I
HD 139614;0.09;0.05;-2.04;0.06;0.05;0.12;-7.46;0.12;n.a;I
HD 142527;0.06;0.05;-1.45;0.05;0.64;0.09;-6.66;0.10;n.a;I
HD 142666;0.01;upper limit;-2.03;0.10;0.06;0.12;-7.31;0.12;n.a;II
HD 144432;0.07;0.05;-1.70;0.06;0.39;0.10;-7.02;0.11;n.a;II
HD 144668;0.20;0.05;-0.74;0.04;1.35;0.07;-5.98;0.09;n.a;II
HD 145718;0.01;upper limit;-2.14;0.12;-0.05;0.12;-7.46;0.12;n.a;II
HD 150193;0.07;0.05;-1.25;0.05;0.84;0.09;-6.72;0.09;n.a;II
HD 158643;0.00;0.07;-0.80;0.06;1.29;0.07;-6.07;0.07;n.a;II
HD 163296;0.07;0.05;-1.46;0.05;0.63;0.09;-6.91;0.10;yes;II
HD 169142;n.a;n.a;-1.50;0.01;0.59;0.10;-6.92;0.10;n.a;I
HD 179218;0.02;0.07;-0.98;0.02;1.11;0.08;-6.31;0.08;yes;I
HD 190073;0.22;0.07;0.27;0.09;2.36;0.06;-4.93;0.07;n.a;II
HD 259431;n.a;n.a;0.44;0.06;2.53;0.06;-4.90;0.08;no;I
PDS 27;0.17;0.14;1.35;0.14;3.44;0.09;-3.96;0.13;n.a;I
V1818 Ori;n.a;n.a;0.19;0.04;2.28;0.06;-5.14;0.09;n.a;I
V380 Ori-A;0.87;0.05;-0.52;0.04;1.57;0.07;-5.88;0.17;n.a;I?
MWC 349A;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;II
AB Aur;n.a;n.a;-0.73;0.05;1.36;0.07;-6.06;0.07;yes;I
MWC 480 (HD 31648);0.05;0.07;-1.20;0.03;0.89;0.08;-6.55;0.09;n.a;II
CQ Tau;0.02;0.07;-1.98;0.01;0.11;0.12;-7.29;0.12;n.a;I
T Ori;0.05;upper limit;-1.15;0.06;0.94;0.08;-6.48;0.10;n.a;n.a
MWC 297;0.01;upper limit;2.03;0.04;4.12;0.12;-3.60;0.12;no;I
VV Ser;0.54;0.07;-0.47;0.01;1.62;0.06;-6.05;0.12;yes;II
MWC 1080;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;n.a;I
UX Ori;0.04;upper limit;-1.78;0.08;0.31;0.11;-7.21;0.14;n.a;II
MWC 758 (HD 36112);n.a;n.a;-1.65;0.03;0.44;0.10;-7.00;0.10;n.a;I
Z Cma A;1.08;0.05;1.62;0.30;3.71;0.10;-3.40;0.23;n.a;I
HD 141569;0.05;0.05;-1.74;0.08;0.35;0.11;-7.23;0.11;yes;II
HD 143006;n.a;n.a;-2.41;0.04;-0.32;0.13;-7.74;0.14;n.a;I
WW Vul;0.08;0.07;-1.10;0.03;0.99;0.08;-6.45;0.09;n.a;II
V1685 Cyg;n.a;n.a;0.90;0.04;2.99;0.07;-4.62;0.08;n.a;I
V1977 Cyg;n.a;n.a;-0.14;0.05;1.95;0.06;-5.45;0.06;n.a;II
AS 477 (V1578 Cyg);n.a;n.a;-0.35;0.04;1.74;0.06;-5.66;0.11;n.a;II
HD 104237;0.17;0.05;-1.07;0.03;1.02;0.08;-6.37;0.08;yes;II
V921 Sco;n.a;n.a;1.88;0.16;3.97;0.11;-3.74;0.14;yes;I